wiki_title,wiki_url,area_served,company_type,founded,founders,headquarters,industry,key_people,net_income,num_employees,operating_income,owner,parent,products,revenue,subsidiaries,total_assets,total_equity,traded_as,website
TI Fluid Systems,https://en.wikipedia.org/wiki/TI_Fluid_Systems,,Private,2000,,"Auburn Hills,Michigan",Automotive Engineering,"Manfred Wennemer (Chairman) Hans Dieltjens, (CEO and President)",€32.5 million (2024),"25,600 (2023)",€173.0 million (2024),,Apollo Global Management,Automotive fluid systems,"€3,360.3 million (2024)",,,,LSE: TIFS,www.tifluidsystems.com
JD.com,https://en.wikipedia.org/wiki/JD.com,Global,Public,6 June 1998; 27 years ago (1998-06-06),Liu Qiangdong,"Beijing, China",E-commerceArtificial intelligenceLogisticsCloud computingHealthcareProperty ManagementInsurance,,"CN¥23.257 billion (US$3.275 billion, 2023)","620,000 (2024)","CN¥26.025 billion (US$3.665 billion, 2023)",Liu Qiangdong (15.8%)Tencent (2.3%),,,"US$158.8 billion, 2024",,"CN¥628.958 billion (US$88.586 billion, 2023)","CN¥628.958 billion (US$88.586 billion, 2023)",Nasdaq: JDSEHK: 9618,corporate.jd.com
YesAsia,https://en.wikipedia.org/wiki/YesAsia,Worldwide,,1998,"Joshua K. Lau, Priscilla Chu","Hong Kong, Japan, South Korea, United States","Online retail, B2C",,,,,,,"DVDs, music, books, electronics & gadgets, video games",,,,,,
ITV plc,https://en.wikipedia.org/wiki/ITV_plc,,Public,2 February 2004; 21 years ago (2004-02-02),,London,Media,Andrew Cosslett (chairman) Dame Carolyn McCall (Chief Executive),£406 million (2024),,£318 million (2024),,,Broadcasting Television production,"£3,488 million (2024)",,,,LSE: ITVFTSE 250 component,itvplc.com
AUX (company),https://en.wikipedia.org/wiki/AUX_(company),,,1986; 39 years ago (1986),,"Ningbo, Zhejiang, China",,Zheng Jianjiang,,"31,413 (2023)",,,,,,,,,,
Naked Wines,https://en.wikipedia.org/wiki/Naked_Wines,,Retail,2008,Rowan Gormley,"Norwich, United Kingdom",Wine,,,,,,,,,,,,,www.nakedwines.com
Dream Market,https://en.wikipedia.org/wiki/Dream_Market,,,,,,,,,,,SpeedStepper,,,,,,,,
Whitbread,https://en.wikipedia.org/wiki/Whitbread,United KingdomUnited Arab EmiratesIrelandIndiaGermany,Public limited company,"1742; 283 years ago (1742) in London, England",Samuel Whitbread,"Houghton Regis, England, UK",LeisureHospitality,Adam Crozier (Chairperson)Alison Brittain (CEO),£312.1 million (2024),"38,000 (2025)",£674.2 million (2024),,,,"£2,959.9 million (2024)",,,,LSE: WTBFTSE 100 Component,www.whitbread.co.uk
HomeServe,https://en.wikipedia.org/wiki/HomeServe,,,"1993; 32 years ago (1993) in Walsall, England, UK",Richard HarpinSouth Staffordshire Water,"Walsall, England, UK",Support ServicesHome emergencies and repairs,Tommy Breen (Chairman)Richard Harpin (CEO),£31.8 million (2021),,£71.8 million (2021),,Brookfield Asset Management (2023–present),,"£1,304.7 million (2021)",,,,,www.homeserveplc.com
Aston Martin,https://en.wikipedia.org/wiki/Aston_Martin,Worldwide,Public limited company,15 January 1913; 112 years ago (1913-01-15),Lionel MartinRobert Bamford,"Gaydon, Warwickshire, England, United Kingdom",Automotive,Lawrence Stroll(Executive Chairman) Adrian Hallmark(Chief Executive Officer) Marek Reichman(Chief Creative Officer),−£323.5 million (2024),,−£82.8 million (2024),,,Luxury carsSports carsGrand tourers,"£1,583.9 million (2024)",Aston Martin Racing,,,LSE: AMLFTSE 250 component,astonmartinlagonda.com
Yue Yuen Industrial Holdings,https://en.wikipedia.org/wiki/Yue_Yuen_Industrial_Holdings,Worldwide,Public Listed company,1988,,Hong Kong,Athletic and casual/outdoor footwear manufacturer,Chairman: Mr. Lu Chin Chu,,,,,Pou Chen Corporation,,,Pou Sheng International,,,SEHK: 551,Yue Yuen Industrial Holdings Limited
Yadong County,https://en.wikipedia.org/wiki/Yadong_County,,,,,,,,,,,,,,,,,,,www.ydx.gov.cn
Tsui Wah Restaurant,https://en.wikipedia.org/wiki/Tsui_Wah_Restaurant,,Public,1967; 58 years ago (1967) in Mong Kok,Choi Cheung Po,Hong Kong,Restaurants,Lee Kun Lun Kenji (CEO),,,,,,,,,,,,tsuiwah.com
Taylor Wimpey,https://en.wikipedia.org/wiki/Taylor_Wimpey,,Public limited company,3 July 2007; 18 years ago (2007-07-03),,"High Wycombe, England, UK",Housebuilding,Robert Noel (chairman)Jennie Daly (CEO),£219.6 million (2024),,£416.4 million (2024),,,,"£3,401.2 million (2024)",,,,LSE: TW.FTSE 250 Component,www.taylorwimpey.co.uk
Superdry & Co,https://en.wikipedia.org/wiki/Superdry_%26_Co,,Private,2003; 22 years ago (2003),,"Cheltenham, England",Clothing,Peter Sjölander (chairman) Julian Dunkerton (Chief executive officer),£(148.1) million (2023),,£(13.3) million (2023),,,Clothing,£622.5 million (2023),,,,LSE: SDRY (delisted),www.superdry.com
YouGov,https://en.wikipedia.org/wiki/YouGov,"Australia, France, Germany, Italy, Singapore, Spain, Switzerland, United Kingdom, United States",Public,2000; 25 years ago (2000),Stephan ShakespeareNadhim Zahawi,"London, United Kingdom",Market researchOpinion polling,Stephan Shakespeare (CEO)Douglas Rivers (chief scientist),–£2.1 million (2024),"c. 3,000 (2024)",£10.9 million (2024),,,,£335.3 million (2024),,£609.7 million (2024),£183.2 million (2024),LSE: YOU,yougov.co.uk
History of education in China,https://en.wikipedia.org/wiki/History_of_education_in_China,,,,,,,,,,,,,,,,,,,
Tandem Computers,https://en.wikipedia.org/wiki/Tandem_Computers,Worldwide,Division,1974; 51 years ago (1974),James Treybig,"Cupertino, California",,,,"12,000 at its peak",,,,"Servers, fault tolerant computer systems",,,,,,
Frontier Developments,https://en.wikipedia.org/wiki/Frontier_Developments,,Public limited company,28 January 1994; 31 years ago (1994-01-28),David Braben,"Cambridge Science Park, Cambridge, England",Video games,Jonny Watts (CEO)David Braben (President & Founder)David Wilton (Chairman),£1.5 million (2022),790 (2022),£41.1 million (2022),,,Elite DangerousRollerCoaster TycoonLostWindsPlanet CoasterJurassic World EvolutionPlanet ZooF1 Manager,£114 million (2022),Complex Games,,,AIM: FDEV,www.frontier.co.uk
Marks & Spencer,https://en.wikipedia.org/wiki/Marks_%26_Spencer,Worldwide,Public limited company,"1884; 141 years ago (1884)Leeds, West Riding of Yorkshire, England",Michael MarksThomas Spencer,London,Retail,Archie Norman (Chairman)Stuart Machin (Chief Executive),£291.9 million (2025),"64,000 (2025)",£624.3 million (2025),,Marks and Spencer Group P.L.C. (2016–present),,"£13,816.8 million (2025)",,,,LSE: MKSFTSE 100 Component,marksandspencer.com
Revolution Bars Group,https://en.wikipedia.org/wiki/Revolution_Bars_Group,UK,Public limited company,1991; 34 years ago (1991),Roy EllisNeil Macleod,United Kingdom,Hospitality industry,Luke Johnson (chairman),,"3,094 (2024)",,,,,£149 million (2024),,,,AIM: TRC,www.therevelcollective.com
Anta Sports,https://en.wikipedia.org/wiki/Anta_Sports,Worldwide,Public,1991; 34 years ago (1991),Ding Shizhong,"Jinjiang, Fujian, China","Sports equipment, textile",Ding Shizhong (Chairman),,,,Anta International (BVI) (61.84%)Public (38.16%),,"Sneakers, clothing, accessories",US$7.7 billion (2021),Amer Sports,,,SEHK: 2020Hang Seng Index,anta.com
The Continental Co-ets,https://en.wikipedia.org/wiki/The_Continental_Co-ets,,,,,,,,,,,,,,,,,,,
Air Partner,https://en.wikipedia.org/wiki/Air_Partner,Worldwide,,1961,Tony Mack,"2 City Place, Beehive Ring Road, Gatwick, West Sussex, RH6 0PA United Kingdom",Aviation,Mark Briffa (CEO),,,,,Wheels Up,,,,,,,Official website
Pegasus Airlines,https://en.wikipedia.org/wiki/Pegasus_Airlines,,,12 January 1991; 34 years ago (1991-01-12),,,,,€367 million (2024),,€574 million (2024),,,,€3.08 billion (2024),Pegasus Cargo,€7.82 billion (2024),€2.06 billion (2024),BİST: PGSUS,www.flypgs.com
Ten Lifestyle Group,https://en.wikipedia.org/wiki/Ten_Lifestyle_Group,Global,Public,1998; 27 years ago (1998) in London,"Alex Cheatle, Andrew Long","London, United Kingdom",Concierge,"Alex Cheatle, CEO",,1000+,,,,,,,,,,www.tenlifestylesgroup.com
Albert Okura,https://en.wikipedia.org/wiki/Albert_Okura,,,,,,,,,,,,,,,,,,,
Sino Group,https://en.wikipedia.org/wiki/Sino_Group,"Hong Kong, Mainland China, Singapore, Australia",,1971,Ng Teng Fong,Hong Kong,Property,Robert NgDaryl Ng,,"Over 11,000",,,,,,,,,,www.sino.com
M J Gleeson,https://en.wikipedia.org/wiki/M_J_Gleeson,,Public,1903,,"Sheffield, South Yorkshire",Construction,"Fiona Goldsmith,(Chair of the board)Graham Prothero,(CEO)Stefan Allanson, (CFO)",£19.3 million (2024),,£28.6 million (2024),,,,£345.3 million (2024),"Gleeson Homes, Gleeson Strategic Land",,,LSE: GLE,mjgleesonplc.com
The AA,https://en.wikipedia.org/wiki/The_AA,,Private limited company,1905 (1905),,"Plant, Basingstoke, England",Automotive services,,£107 million (2020),"7,454 (2017)",£257 million (2020),,TowerBrook Capital PartnersWarburg Pincus,,£995 million (2020),,,,,https://www.theaa.com/
Lever House,https://en.wikipedia.org/wiki/Lever_House,,,,,,,,,,,"Brookfield Properties, WatermanClark",,,,,,,,
St Helens R.F.C.,https://en.wikipedia.org/wiki/St_Helens_R.F.C.,,,1873; 152 years ago (1873),,,,,,,,,,,,,,,,saintsrlfc.com
Pactiv Evergreen,https://en.wikipedia.org/wiki/Pactiv_Evergreen,,Subsidiary,2020; 5 years ago (2020),,"Lake Forest, Illinois, U.S.",Packaging and Container Manufacturing,Mike King (CEO),$23 million (2021),"16,500",$108 million (2021),,,"Custom and stock foam, plastic, aluminum, pressed-paperboard, PE coated board, and molded-fiber packaging",$5.437 billion (2021),Pactiv LLCEvergreen PackagingFabri-Kal,$7.021 billion (2021),$1.288 billion (2021),,pactivevergreen.com
Thorn Lighting,https://en.wikipedia.org/wiki/Thorn_Lighting,Worldwide,Private,29 March 1928,Sir Jules Thorn,"London, England",Lighting,,,"more than 1,000 (2015)",,,Zumtobel Group,Professional luminaires and controls,€109 million (2020),,,,,www.thornlighting.com
Las Vegas Sands,https://en.wikipedia.org/wiki/Las_Vegas_Sands,Macau (under Sands China)Singapore,Public,"November 17, 1988; 37 years ago (1988-11-17)",Sheldon G. Adelson,"Las Vegas, Nevada, U.S.","Hospitality, tourism, integrated resorts",Robert G. Goldstein(chairman & CEO)Patrick Dumont(president & COO)Randy Hyzak(CFO)Zachary Hudson(General Counsel),US$1.45 billion (2024),"40,300 (2024)",US$2.40 billion (2024),Adelson family (54%),,"Gambling, hotels, entertainment, casinos, resorts",US$11.3 billion (2024),Sands China (69.9%),US$20.7 billion (2024),US$2.88 billion (2024),NYSE: LVSS&P 500 component,sands.com
Headlam Group,https://en.wikipedia.org/wiki/Headlam_Group,,Public,1992.,,"Coleshill, Birmingham, UK",Flooring,"Dick Peters, Chairman Steve Wilson, CEO",£(25.0) million (2024),,£(27.3) million (2024),,,,£593.1 million (2024),,,,LSE: HEAD,www.headlamgroup.com
Baidu Wangpan,https://en.wikipedia.org/wiki/Baidu_Wangpan,,Cloud storage,,,,,,,,,,,,,,,,,pan.baidu.com
DFS (furniture retailer),https://en.wikipedia.org/wiki/DFS_(furniture_retailer),United KingdomRepublic of Ireland,Public limited company,1969 in Doncaster,Graham Kirkham,"Doncaster, United Kingdom",Retail,Ian Durant (Chairman)Tim Stacey (Chief executive officer),£(4.4) million (2024),,£50.2 million (2024),,,Furniture Beds Mattresses,"£1,311.8 million (2024)",,,,LSE: DFS,dfs.co.ukdfs.ie
Ted Baker,https://en.wikipedia.org/wiki/Ted_Baker,,Private,"Glasgow, Scotland (1988)",Ray Kelvin,"London, England",Fashion,,£40.7 million (2019),,£54.5 million (2019),Authentic Brands Group (2022–present),,Ready-to-wearfootwearaccessorieshomewear,£617.4 million (2019),,,,,tedbaker.comtedbaker.us
Harmony Intelligent Mobility Alliance,https://en.wikipedia.org/wiki/Harmony_Intelligent_Mobility_Alliance,,,,,,,,,,,Huawei,,,,,,,,hima.auto
Mitchells & Butlers,https://en.wikipedia.org/wiki/Mitchells_%26_Butlers,United Kingdom Germany,Public,1898; 127 years ago (1898),,"Birmingham, England","Restaurants, Pubs",Bob Ivell (chairman)Phil Urban (CEO),£149 million (2024),"50,455 (2024)",£312 million (2024),,,c. 1784 restaurants and pubs,"£2,610 million (2024)",All Bar OneBrowns RestaurantsHarvesterInnkeeper's LodgeMiller & CarterToby Carvery,,,LSE: MABFTSE 250 component,mbplc.com
Education Review,https://en.wikipedia.org/wiki/Education_Review,,,,,,,,,,,,,,,,,,,
Meta Platforms,https://en.wikipedia.org/wiki/Meta_Platforms,Worldwide,Public,"February 4, 2004; 21 years ago (2004-02-04) in Cambridge, Massachusetts, U.S.",Mark Zuckerberg Eduardo Saverin Andrew McCollum Dustin Moskovitz Chris Hughes,"Menlo Park, California, U.S.",Social mediaAdvertising,Mark Zuckerberg (chairman and CEO) Javier Oliván (COO) Andrew Bosworth (CTO) Chris Cox (CPO),US$62.4 billion (2024),"78,450 (Sept. 2025)",US$69.4 billion (2024),Mark Zuckerberg (13.68% equity; 61.2% voting),,FacebookInstagramMessengerThreadsWhatsAppWorkplace,US$164.5 billion (2024),,US$276.1 billion (2024),US$182.6 billion (2024),Nasdaq: META (Class A)Nasdaq-100 componentS&P 100 componentS&P 500 component,meta.com
Pearson plc,https://en.wikipedia.org/wiki/Pearson_plc,,Public,1844; 181 years ago (1844),Samuel Pearson,"Shell Mex House, London, England",EducationMass media,Omid Kordestani (chairman)Omar Abbosh (CEO),£435 million (2024),"17,612 (2023)",£541 million (2024),,,"Educational materials (books, tests), Television distribution","£3,552 million (2024)",Pearson EducationEdexcel,"£6,892 million (2024)","£4,063 million (2024)",LSE: PSONNYSE: PSOFTSE 100 component,plc.pearson.com
China Southern Airlines,https://en.wikipedia.org/wiki/China_Southern_Airlines,,,1 July 1988; 37 years ago (1988-07-01),,"Guangzhou, Guangdong",,Han Wen Sheng (president)Ma Xu Lun (chairman),CN¥9.156 billion (2017),,CN¥8.798 billion (2017),,,,CN¥127.806 billion (2017),Chongqing Airlines (60%)GAMECOSichuan Airlines (39%)XiamenAir (55%)Xiongan Airlines,CN¥149.14 billion (2017),CN¥62.543 billion (2017),SSE: 600029 (A share)SEHK: 1055 (H share),csair.com/en (in English)csair.com (in Chinese)
French Connection (clothing),https://en.wikipedia.org/wiki/French_Connection_(clothing),United KingdomUnited StatesCanada European Union,Private company,1972,,"London, England",Clothing,"Stephen Marks, Chairman/CEOLee Williams, CFONeil Williams, COO",,626 (2021),,,,"Clothing, accessories, watches, perfumes, toiletries, glasses, etc.",£71.5 million (2021),,,,,frenchconnection.com
Prada,https://en.wikipedia.org/wiki/Prada,Worldwide,Public,1913; 112 years ago (1913)(as Fratelli Prada),Mario Prada,"Via Antonio Fogazzaro, 2820135 MilanItaly45°27′25″N 09°12′38″E﻿ / ﻿45.45694°N 9.21056°E﻿ / 45.45694; 9.21056",Fashion,Andrea Guerra (CEO) Miuccia Prada (Executive director)Patrizio Bertelli (chairman),€838.9 million (2024),"15,216 (2024)",€1.28 billion (2024),,,Luxury goods,€5.431 billion (2024),Versace Miu Miu Church's Car Shoe Pasticceria Marchesi Luna Rossa Fondazione Prada,€8.55 billion (2024),€4.39 billion (2024),SEHK: 1913,prada.com
Symphony Limited,https://en.wikipedia.org/wiki/Symphony_Limited,Worldwide,Public,1988; 37 years ago (1988),Achal Bakeri,"Ahmedabad, Gujarat, India",Home appliances Consumer electronics,,,400+,,,,"Residential cooler, industrial cooler",,,,,BSE: 517385 NSE: SYMPHONY,www.symphonylimited.com
Trip.com,https://en.wikipedia.org/wiki/Trip.com,Worldwide,,June 1999; 26 years ago (1999-06),,Singapore,Travel agency,,,,,,,,,,,,,
20th Century Studios,https://en.wikipedia.org/wiki/20th_Century_Studios,Worldwide,Subsidiary,"May 31, 1935; 90 years ago (1935-05-31)",Joseph M. Schenck Darryl F. Zanuck William Fox,"500 Buena Vista Street, Burbank, California, United States",Film,"David Greenbaum (president, The Walt Disney Studios) Steve Asbell (president, 20th Century Studios)",,"2,300 (2018)",,,News Corporation (1985–2013)21st Century Fox (2013–2019)Walt Disney Studios(2019–present),Motion pictures,,,,,,www.20thcenturystudios.com
Sportech,https://en.wikipedia.org/wiki/Sportech,Worldwide,Public (LSE: SPO),,,United Kingdom,Online gambling,"Richard McGuire, Chief Executive Officer",,,,,,,,,,,,sportechplc.com
China Global Television Network,https://en.wikipedia.org/wiki/China_Global_Television_Network,,State media,,,"CCTV Headquarters, Beijing",,,,,,Publicity Department of the Chinese Communist Party,China Media Group,,,,,,,
Marshall Group,https://en.wikipedia.org/wiki/Marshall_Group,,UK Private Limited Company,1 October 1909,,"Cambridge City Airport, UK",Aerospace & Defence,Roger Hardy (Chair)Gareth Williams (CEO Engineering Businesses),£1.9 million[citation needed],"over 2,000[citation needed]",£4.1 million[citation needed],,,C-130 maintenanceDeployable infrastructureAdvanced structuresEngineering,£321 million[citation needed],,,,,https://marshallgroup.com/
Burberry,https://en.wikipedia.org/wiki/Burberry,Worldwide,Public limited company,"1856; 169 years ago (1856) in Basingstoke, England",Thomas Burberry,"London, England, UK",Fashion,Gerry Murphy (chairperson)Joshua Schulman (CEO)Daniel Lee (CCO),£271 million (2024),"9,169 (2024)",£418 million (2024),,,Ready-to-wear handbags leather accessories footwear,"£2,968 million (2024)",,,,LSE: BRBYFTSE 100 component,burberry.com
Keywords Studios,https://en.wikipedia.org/wiki/Keywords_Studios,,Subsidiary,1998; 27 years ago (1998),Giorgio GuastallaTeresa Luppino,"Leopardstown, Ireland",Video games,Bertrand Bodson (CEO)Jon Hauck (COO)Robert Kingston (CFO),€19.952 million (2023),"12,340 (2023)",€46.830 million (2023),,EQT AB (51%; 2024–present),,€780.445 million (2023),See § Operations,€599.039 million (2023),€599.039 million (2023),,keywordsstudios.com
STV Inc.,https://en.wikipedia.org/wiki/STV_Inc.,,Private,1912 (SSV&K)1945 (S&T),,"New York City, U.S.","Architecture, Engineering, Construction Management, Planning","Dominick M. Servedio, P.E.(Chairman)Greg Kelly, P.E.(President & CEO)David Black(CFO)",,"3,200",,,,,,,,,,www.stvinc.com
Applegreen,https://en.wikipedia.org/wiki/Applegreen,,,"Dublin, Ireland (1992)",,"Park West, Dublin, Ireland",Retail,Bob Etchingham (co-owner)Joe Barrett (co-owner),,,,,,,€3.1bn (2019),,,,,applegreenstores.com
Chong Hing Bank,https://en.wikipedia.org/wiki/Chong_Hing_Bank,,Private,1948; 77 years ago (1948),Liu family,"24 Des Voeux Road Central, Central, Hong Kong",Financial services,Zhang Zhaoxing (Chairman)Zong Jianxin (Deputy Chairman and Chief Executive) Lau Wai Man (Deputy Chief Executive),,,,,,,,,,,,chbank.com
BAIC Motor,https://en.wikipedia.org/wiki/BAIC_Motor,Worldwide,Public,2010; 15 years ago (2010),,"Beijing, China",Automotive,Zhang Xiyong (GM)Heyi Xu (chairman & Secretary of the Party Committee),"300,518 (2023)","31,236 (2024)",,,BAIC Group,,"US$26,850,148 (2023)",,"23,438,925 (2023)",,unlisted(A share)SEHK: 1958(H share),baicmotor.com
Skyworth,https://en.wikipedia.org/wiki/Skyworth,Worldwide,"Public (SEHK: 751, SZSE: 000810)",1988; 37 years ago (1988),"Huang Hongsheng, Stephen Wong","Nanshan, Shenzhen, Guangdong, China",Electronics,"Zhang Xuebin, CEO, Executive Director",,,,,,"Set-top boxes, televisions, A/V security products, mobile phones, auto electronics, electric vehicles, and precision dies",,,,,,www.skyworth.com
Simplicity Pattern,https://en.wikipedia.org/wiki/Simplicity_Pattern,,,,,,,,,,,,,,,,,,,
McCarthy Stone,https://en.wikipedia.org/wiki/McCarthy_Stone,,,1977,,"Bournemouth, England, United Kingdom",Real estate,Paul Lester (Chairman)John Tonkiss (CEO),£34.9 million (2019),"2,433 (2019)",£48.4 million (2019),,Lone Star Funds,,£725.0 million (2019),,,,,mccarthyandstone.co.uk
