wiki_title,wiki_url,company_type,traded_as,founded,headquarters,num_locations,area_served,key_people,services,revenue,operating_income,net_income,total_assets,total_equity,num_employees,subsidiaries,website,founders,formerly,products,isin
Sonder (company),https://en.wikipedia.org/wiki/Sonder_(company),Public,Nasdaq: SOND,"2014; 11 years ago (2014), in Montreal, Quebec, Canada","San Francisco, California",,North AmericaEuropeDubai,Francis Davidson (CEO),,US$603 million (2023),,,,,,,sonder.com,Francis DavidsonLucas PellanMartin Picard,,,
Bonk's Adventure,https://en.wikipedia.org/wiki/Bonk%27s_Adventure,,,,,,,,,,,,,,,,,,,,
Reservoir Media,https://en.wikipedia.org/wiki/Reservoir_Media,,,2007 (2007),,,,,,,,,,,,,,Golnar Khosrowshahi,,,
O'Reilly Auto Parts,https://en.wikipedia.org/wiki/O%27Reilly_Auto_Parts,Public,Nasdaq: ORLYNasdaq-100 componentS&P 500 component,"December 2, 1957; 67 years ago (1957-12-02)","Springfield, Missouri, U.S.","6,538 (Q3 2025)",United StatesMexicoCanada,Brad Beckham (CEO),,US$16.7 billion (2024),US$3.25 billion (2024),US$2.39 billion (2024),US$14.9 billion (2024),US$−1.4 billion (2024),"93,269 (Q3 2025)",,oreillyauto.com,Charles F. O'ReillyCharles H. O'Reilly,,Auto parts,
Franklin Electric,https://en.wikipedia.org/wiki/Franklin_Electric,Public,Nasdaq: FELES&P 600 component,1944; 81 years ago (1944),"Fort Wayne, Indiana, United States",,,Joe Ruzynski (CEO),,2.1 billion (2023),,,,,"6,400 (2023)",,franklin-electric.com,,,,US3535141028
Walmart,https://en.wikipedia.org/wiki/Walmart,Public,NYSE: WMT(to switch to Nasdaq on 12/9/25)DJIA componentS&P 100 componentS&P 500 component,"July 2, 1962; 63 years ago (1962-07-02), in Rogers, Arkansas, U.S.","Bentonville, Arkansas, United States36°21′56″N 94°13′03″W﻿ / ﻿36.36556°N 94.21750°W﻿ / 36.36556; -94.21750","10,771 (2025)",Worldwide,"Greg Penner (chairman) Doug McMillon (president, CEO)",Walmart-2-Walmart,US$680.99 billion (2025),US$29.348 billion (2025),US$19.436 billion (2025),US$260.82 billion (2025),US$97.421 billion (2025),"2,100,000 (2025)",List of subsidiaries,walmart.com,Sam WaltonBud Walton,"Wal-Mart Discount City (1962–1969)Wal-Mart, Inc. (1969–1970)Wal-Mart Stores, Inc. (1970–2018)",,US9311421039
Standard Motor Products,https://en.wikipedia.org/wiki/Standard_Motor_Products,Public,NYSE: SMPS&P 600 component,1919 (1919),"Long Island City, New York, U.S.",,Worldwide,"Eric P. Sills (Chairman, President & CEO)James J. Burke (Director & Chief Operating Officer)Nathan Iles (Chief Financial Officer)",,$1.5 billion (2024),,,,,"6,100 (includes JVs)",,smpcorp.com,"Elias Fife,Ralph Van Allen",,,
Yum! Brands,https://en.wikipedia.org/wiki/Yum!_Brands,Public,NYSE: YUMS&P 500 component,"November 8, 1977; 48 years ago (1977-11-08) (as a subsidiary of PepsiCo)October 6, 1997; 28 years ago (1997-10-06) (as a separate entity)","Louisville, Kentucky, U.S.",61.000 (2025),Worldwide,Brian Cornell(non-executive chairman)David Gibbs (CEO)Tracy Skeans (COO),,US$7.547 billion (2024),US$2.403 billion (2024),US$1.486 billion (2024),US$6.727 billion (2024),−US$7.648 billion (2024),Over 1 million (est.) (Including subsidiaries and franchises),KFC Pizza Hut Taco Bell Habit Burger & Grill Heartstyles Tictuk Technologies Kvantum Dragontail Systems,yum.com,,"Tricon Global Restaurants, Inc. (1997–2002)",,
Coty,https://en.wikipedia.org/wiki/Coty,Public,NYSE: COTY (Class A)S&P 400 component,"1904; 121 years ago (1904) in Paris, France","Amsterdam, Netherlands",,Worldwide,Peter Harf (executive chairman)Sue Nabi (CEO),,US$5.89 billion (2025),US$241 million (2025),−US$368 million (2025),US$11.9 billion (2025),US$3.54 billion (2025),"11,636 (2025)",,coty.com,François Coty,,Cosmetics fragrances hair care skin care,US2220702037
Virgin Galactic,https://en.wikipedia.org/wiki/Virgin_Galactic,,NYSE: SPCERussell 2000 component,2004; 21 years ago (2004),"Tustin, California, U.S",,,Michael Colglazier (CEO)Doug Ahrens (CFO)Mike Moses (President – Safety),,US$2.31 million (2022),US$−500 million (2022),US$−500 million (2022),US$1.14 billion (2022),US$480 million (2022),,,virgingalactic.com,Richard Branson,,,
Distribution Solutions Group,https://en.wikipedia.org/wiki/Distribution_Solutions_Group,Public,Nasdaq: DSGR,1952,"Fort Worth, Texas, U.S.",,"United States, Canada, internationally",J. Bryan King (Chairman & CEO),,,,,,,"~4,300","Lawson Products, TestEquity, Gexpro Services",distributionsolutionsgroup.com,,,,
JetBlue,https://en.wikipedia.org/wiki/JetBlue,,Nasdaq: JBLUS&P 600 component,August 1998; 27 years ago (1998-08) originally as NewAir,"Brewster Building, Long Island City, Queens, New York City, U.S.",,,Joanna Geraghty (CEO)Marty St. George (president)Peter Boneparth (chairman),,US$9.3 billion (2024),US$−0.684 billion (2024),US$−0.795 billion (2024),US$16.8 billion (2024),US$2.6 billion (2024),,Paisly,jetblue.com,David Neeleman,,,US4771431016
Target Corporation,https://en.wikipedia.org/wiki/Target_Corporation,Public company,NYSE: TGTS&P 100 componentS&P 500 component,"June 24, 1902; 123 years ago (1902-06-24) (corporation)May 1, 1962; 63 years ago (1962-05-01) (store)","Target PlazaMinneapolis, Minnesota, U.S.","1,989 stores (2025)","United States, Canada (formerly, see Target Canada)","Brian Cornell(Chairman and CEO)Michael Fiddelke(Incoming CEO, COO)",,US$106.6 billion (2024),US$5.566 billion (2024),US$4.091 billion (2024),US$57.77 billion (2024),US$14.67 billion (2024),"440,000 (2025)",Shipt,target.comcorporate.target.com,Schwanna Ferguson (corporation)Douglas Dayton and John Geisse (store),Goodfellow Dry Goods(1902–1903)Dayton's Dry Goods Company(1903–1910)Dayton Company(1910–1962)Dayton Corporation(1962–1969)Dayton-Hudson Corporation(1969–2000),,
H&R Block,https://en.wikipedia.org/wiki/H%26R_Block,Public,NYSE: HRBS&P 400 component,"January 25, 1955; 70 years ago (1955-01-25), in Kansas City, Missouri, U.S.","Kansas City, Missouri, U.S.",,United StatesCanadaAustralia,Robert A. Gerard(chairman)Jeffrey J. Jones II(president & CEO)Tony G. Bowen(CFO),,US$3.61 billion (2024),US$805 million (2024),US$595 million (2024),US$3.22 billion (2024),US$90.6 million (2024),"4,200 (full-time; 2024)70,900 (including seasonal)",,hrblock.com,Henry W. BlochRichard Bloch,,Tax preparationBusiness services,
Yeti Holdings,https://en.wikipedia.org/wiki/Yeti_Holdings,Public,NYSE: YETIS&P 400 component,2006; 19 years ago (2006),"Austin, Texas, U.S.",,,,,US$1.66 billion (2023),,US$169.9 million (2023),,,,,yeti.com,Ryan and Roy Seiders,,"Coolers, drinkware, gear",US98585X1046
Mesa Air Group,https://en.wikipedia.org/wiki/Mesa_Air_Group,Public,Nasdaq: MESARussell 2000 Index component,1980; 45 years ago (1980),"Phoenix, Arizona, United States",,,"Jonathan G. Ornstein (chairman & CEO) Michael J. Lotz (president) Torque Zubeck (CFO) Bradford Rich (executive vice president & COO) Brian Gillman (executive vice president, general counsel and secretary)",,$1.4 billion USD (2007),,,,,"~3,600 (2022)",,mesa-air.com,,,,
Fastenal,https://en.wikipedia.org/wiki/Fastenal,Public,Nasdaq: FASTNasdaq-100 componentS&P 500 component,1967; 58 years ago (1967),"Winona, Minnesota, U.S.","3,628 (2024)",United StatesCanadaEuropeAsia,Daniel L. Florness (CEO)Holden Lewis (CFO),,US$7.5 billion (2024),US$1.5 billion (2024),US$1.1 billion (2024),US$4.7 billion (2024),US$3.6 billion (2024),"23,702 (2024)",,fastenal.com,Bob Kierlin,,,
United Airlines fleet,https://en.wikipedia.org/wiki/United_Airlines_fleet,,,,,,,,,,,,,,,,,,,,
Playboy,https://en.wikipedia.org/wiki/Playboy,,,1953,,,,,,,,,,,,,Official website,Hugh Hefner,,,
Stanley Black & Decker,https://en.wikipedia.org/wiki/Stanley_Black_%26_Decker,Public,NYSE: SWKS&P 500 component,"March 1843; 182 years ago (1843-03) (as Stanley's Bolt Manufactory) September 1910; 115 years ago (1910-09) (as ""The Black & Decker Manufacturing Company"")","New Britain, Connecticut, U.S.",,,Andrea J. Ayers (Chairman)Don Allan (President & CEO),,US$15.4 billion (2024),US$561 million (2024),US$294 million (2024),US$21.8 billion (2024),US$8.72 billion (2024),"48,500 (2024)",,stanleyblackanddecker.com,Frederick Trent Stanley (The Stanley Works) S. Duncan BlackAlonzo G. Decker (Black and Decker),,"Tools, Outdoor equipment, Industrial solutions",
IRobot,https://en.wikipedia.org/wiki/IRobot,Public,Nasdaq: IRBT,"1990; 35 years ago (1990), Delaware, U.S.","Bedford, Massachusetts, U.S.",,,Andrew Miller (chairman)Gary Cohen (CEO)Julie Zeiler (CFO),,US$891 million (2023),US$−264 million (2023),US$−305 million (2023),US$734 million (2023),US$196 million (2023),"1,113 (December 2023)",,irobot.com,Rodney BrooksColin AngleHelen Greiner,,Domestic robotsMilitary robots (until 2016),
"Rollins, Inc.","https://en.wikipedia.org/wiki/Rollins,_Inc.",Public,NYSE: ROLS&P 500 component,1948; 77 years ago (1948) (as Rollins Broadcasting),"Atlanta, Georgia, U.S.",,,"John F. Wilson (chairman)Gary Rollins (chairman emeritus)Jerry E. Gahlhoff, Jr. (CEO)",,US$3.39 billion (2024),US$657 million (2024),US$466 million (2024),US$2.82 billion (2024),US$1.33 billion (2024),"20,265 (2024)",OrkinWestern Pest Services,rollins.com,John W. RollinsO. Wayne Rollins,,,
The Interpublic Group of Companies,https://en.wikipedia.org/wiki/The_Interpublic_Group_of_Companies,Public,NYSE: IPGS&P 500 component,1930; 95 years ago (1930) (as McCann Erickson)1961 (1961) (as Interpublic Group),"New York City, US",,,Philippe Krakowsky (CEO),,US$10.7 billion (2024),US$1.20 billion (2024),US$690 million (2024),US$18.3 billion (2024),US$3.86 billion (2024),"53,300 (2024)",,interpublic.com,,,,
The Wendy's Company,https://en.wikipedia.org/wiki/The_Wendy%27s_Company,Public,Nasdaq: WENS&P 600 component,1884; 141 years ago (1884),"Dublin, Ohio, U.S.","5,938 (United States)1,006 (International)6,949 (Total)",Worldwide,Nelson Peltz(Chairman)Kirk Tanner(President and CEO),,US$2.095 billion (2022),US$353.3 million (2022),US$177.4 million (2022),US$5.5 billion (2022),US$465.7 million (2022),"~14,500 (As of Jan. 2, 2022)","Wendy's First Kitchen Quality Is Our Recipe, LLC",www.wendys.com,,"Deisel-Wemmer Co. (1884–1929) Deisel-Wemmer-Gilbert Corporation (1929–1946) DWG Cigar Corporation (1946–1966) DWG Corporation (1966–1993) Triarc Companies, Inc. (1993–2008) Wendy's/Arby's Group, Inc. (2008–2011)",Fast food,US95058W1009
Costamare,https://en.wikipedia.org/wiki/Costamare,Public,NYSE: CMRERussell 2000 Component,1975; 50 years ago (1975),"Athens, Monaco",,Worldwide,Konstantinos V. Konstantakopoulos (Charman & CEO),,US$793.63 million (2021),US$441.35 million (2021),US$435.12 million (2021),US$4.407 billion (2021),US$1.725 billion (2021),"2,750 (2021)",,www.costamare.com,Vassilis C. Constantakopoulos,,,
Blink Charging,https://en.wikipedia.org/wiki/Blink_Charging,Public,Nasdaq: BLNK,,"Bowie, Maryland, United States",106000 publicly accessible chargers (2024),,Brendan S. Jones (president & CEO),,"US$61,139,000 (2022)","US$(89,271,000) (2022)","US$(91,560,000) (2022)","US$362,542,000 (2022)","US$260,957,000 (2022)",,,blinkcharging.com,,,,
Planet Fitness,https://en.wikipedia.org/wiki/Planet_Fitness,Public,NYSE: PLNT (Class A)S&P 400 component,1992; 33 years ago (1992),"Hampton, New Hampshire, U.S.","2,722 (2024)",North AmericaDominican RepublicAustraliaSouth Africa[citation needed],Colleen Keating (CEO),,US$1.18 billion (2024),US$324 million (2024),US$174 million (2024),US$3.07 billion (2024),US$−215 million (2024),"3,806 (2024)",,planetfitness.com,Michael GrondahlMarc GrondahlRich Berks,,,
The Toro Company,https://en.wikipedia.org/wiki/The_Toro_Company,Public company,NYSE: TTCS&P 400 Component,1914,"Bloomington, Minnesota, U.S.",,Worldwide,"Richard Olson, Chairman, President and CEO",,US$4.58 billion (2024),,,,,"11,280 (full-time)",,thetorocompany.com,,,"Turf and landscape maintenance, snow and ice management, underground utility construction, rental and specialty construction, and irrigation and outdoor lighting solutions",
BJ's Restaurants,https://en.wikipedia.org/wiki/BJ%27s_Restaurants,Public,Nasdaq: BJRIS&P 600 component,"1978 (47 years ago) (1978), in Santa Ana, California, US","Huntington Beach, California, US",215 (2022),United States,Greg Levin (CEO and president),Catering,US$1.283 billion (2023),US$13.759 million (2023),US$19.660 million (2023),US$1.058 billion (FY 2023),US$365.761 million (FY 2023),"21,200 (2021)",,www.bjsrestaurants.com,Jim Kozen Leonard Allenstein,BJ's Chicago Pizzeria,American food,
Odyssey Marine Exploration,https://en.wikipedia.org/wiki/Odyssey_Marine_Exploration,Public,Nasdaq: OMEX,1994; 31 years ago (1994),"Tampa, Florida, United States",,,Mark D. Gordon (CEO and chairman) John D. Longley (president) Christopher E. Jones (CFO),,US$ 3.1million (FY 2019),,,,,,,www.odysseymarine.com,John MorrisGreg Stemm,,,
Restaurant Brands International,https://en.wikipedia.org/wiki/Restaurant_Brands_International,Public,TSX: QSRNYSE: QSRS&P/TSX 60 component,"December 15, 2014; 10 years ago (2014-12-15)","Toronto, Ontario, Canada","30,000 (2024 (2024))",Worldwide,J. Patrick Doyle (executive chairman)Joshua Kobza (CEO),,US$8.4 billion (2024),US$2.4 billion (2024),US$1.4 billion (2024),US$24.6 billion (2024),US$4.8 billion (2024),"6,300",Burger KingTim HortonsPopeyesFirehouse SubsCarrols Restaurant Group,rbi.com,,,,
Gentex (standard),https://en.wikipedia.org/wiki/Gentex_(standard),,,,,,,,,,,,,,,,,,,,
1stdibs,https://en.wikipedia.org/wiki/1stdibs,Public,Nasdaq: DIBS,"2000; 25 years ago (2000), in Paris, France","300 Park Avenue South, New York City, US",,Worldwide,David Rosenblatt (CEO),,US$85 million (2023),,,,,237 (2023),,1stdibs.com,Michael Bruno,,,
Wyndham Hotels & Resorts,https://en.wikipedia.org/wiki/Wyndham_Hotels_%26_Resorts,Public,NYSE: WHS&P 400 component,"1981; 44 years ago (1981) in Dallas, Texas, U.S.","Parsippany, New Jersey, U.S.","9,286 (2024)",,Geoffrey A. Ballotti (President),,US$1.41 billion (2024),US$495 million (2024),US$289 million (2024),US$4.22 billion (2024),US$650 million (2024),"2,200 (2024)",,wyndhamhotels.com,Trammell Crow,,,
Tandy Leather Factory,https://en.wikipedia.org/wiki/Tandy_Leather_Factory,Public,Nasdaq: TLF,"1919 (1919) in Fort Worth, Texas","Fort Worth, Texas",108 (2013),Worldwide,Johan Hedberg (CEO) Daniel Ross (GC),,$78.284 million (2013),$11.226 million (2013),$7.265 million (2013),$56.398 million (2013),,571 (2013),"The Leather Factory, LPThe Leather Factory of Canada, LtdTandy Leather Co., LPTandy Leather Factory UK, Ltd.Tandy Leather Factory Australia Pty, Ltd.Tandy Leather Factory España, SL",www.tandyleather.com,Norton HinckleyDave L. Tandy,"The Leather Factory, Inc.",Leather goods and related products,
Tuniu,https://en.wikipedia.org/wiki/Tuniu,Public,NASDAQ: TOUR,2006,"Nanjing, China",,,Donald Dunde Yu (CEO and co-founder) Alex Haifeng Yan (COO and co-founder),"Packaged tours, accommodation reservation, airline and railway ticketing, car rentals, corporate travel",USD$1.6 billion (2015),,,,,8000,,www.tuniu.com,,,,
G-III Apparel Group,https://en.wikipedia.org/wiki/G-III_Apparel_Group,Public,Nasdaq: GIIIS&P 600 component,1956; 69 years ago (1956),"New York City, U.S.",,,Morris Goldfarb (CEO and chairman)Sammy Aaron (president and vice chairman)Dana Perlman (chief growth and operations officer)Jeffrey Goldfarb (executive vice president)Neal S. Nackman (CFO),,US$3.23bn (FY 2023),,,,,"3,600 full time; 1,100 part-time (2023)",,www.giii.com,Aron Goldfarb,"G&N Sportswear, G-III Leather Fashions, Inc",Apparel and accessories,
The Generation Essentials Group,https://en.wikipedia.org/wiki/The_Generation_Essentials_Group,Public company,NYSE: TGE,"June 5, 2025; 5 months ago (2025-06-05)","Paris, France",,Worldwide,Calvin Choi (Director) Feridun Hamdullahpur (Chairman),,,,,,,,The Art Newspaper L'Officiel,thegenerationessentials.com,,,,
Wolverine World Wide,https://en.wikipedia.org/wiki/Wolverine_World_Wide,Public,NYSE: WWWS&P 600 component,1883; 142 years ago (1883),"Rockford, Michigan, U.S.",,,Chris Hufnagel (CEO),,US$2.68 billion (2022),,,,,"4,300",Bates Cat Footwear Chaco Harley-Davidson Footwear Hush Puppies Hytest Merrell Saucony Stride Rite (licensed) Sweaty Betty Wolverine Boots and Shoes,wolverineworldwide.com,G. A. Krause Fredrick Hirth,,"Footwear, apparel, accessories, sportswear",
Church & Dwight,https://en.wikipedia.org/wiki/Church_%26_Dwight,Public,NYSE: CHDS&P 500 component,"1847: as John Dwight and Company1896: as Church & Dwight, Co.","Ewing, New Jersey, U.S.",,,Richard Dierker (CEO),,US$6.11 billion (2024),US$807 million (2024),US$585 million (2024),US$8.88 billion (2024),US$4.36 billion (2024),"5,750 (2024)",,churchdwight.com,Austin Church John Dwight,,Laundry detergentBaking sodaDepilatoriesPregnancy tests,
Ross Stores,https://en.wikipedia.org/wiki/Ross_Stores,Public,Nasdaq: ROSTNasdaq-100 componentS&P 500 component,"1950; 75 years ago (1950), in Pacifica, California, U.S.","Dublin, California, U.S.","1,795 (Ross Dress for Less) 353 (DD's Discounts)",United StatesGuamPuerto Rico,James Conroy (CEO) K. Gunnar Bjorklund (executive chairman) Michael Balmuth (president) Michael J. Hartshorn (COO),,US$14.89 billion (2018),US$1.61 billion (2015),US$1.02 billion (2015),US$4.87 billion (2015),US$2.47 billion (2015),"88,100 (2019)",dd's Discounts,rossstores.comddsdiscounts.com,Morris RossBill Isackson,,"Clothing, footwear, bedding, bath, furniture, home decor, jewelry, beauty products, toys, appliances, housewares, and giftware.",
MakeMyTrip,https://en.wikipedia.org/wiki/MakeMyTrip,Public,Nasdaq: MMYT,2000; 25 years ago (2000),"Gurgaon, Haryana, India",,Worldwide,Deep Kalra (chairman)Rajesh Magow (CEO)Sanjay Mohan (CTO)Mohit Kabra (CFO),,US$783.0 million (FY2024),,,,,"5,122 (2025)",,www.makemytrip.com,Deep Kalra,,"Booking flights, hotels, holidays, buses, trains and cars",
Dunlop (brands),https://en.wikipedia.org/wiki/Dunlop_(brands),,,,,,,,,,,,,,,,,,,,
Purple.com,https://en.wikipedia.org/wiki/Purple.com,,,,,,,,,,,,,,,,,,,,
NextEra Energy,https://en.wikipedia.org/wiki/NextEra_Energy,Public,NYSE: NEEDJUA componentS&P 100 componentS&P 500 component,1984; 41 years ago (1984) as FPL Group,"Juno Beach, Florida, U.S.",,United States and Canada,"John W. Ketchum (Chairman, President and CEO of NEE)Armando Pimentel Jr. (President and CEO of FPL)Rebecca J. Kujawa (President and CEO of NEER)",Electricity generationelectric power transmissionelectric power distribution,US$24.8 billion (2024),US$7.48 billion (2024),US$6.0730 billion (2024),US$190.1 billion (2024),US$60.5 billion (2024),"16,700 (2024)",Florida Power & LightNextEra Energy Resources,nexteraenergy.com,,FPL Group (1984–2010),,
News Corporation,https://en.wikipedia.org/wiki/News_Corporation,Public,"NYSE: NWSA (Class A, until 2008) NYSE: NWS (Class B, until 2008) Nasdaq: NWSA (Class A, 2008–2013)Nasdaq: NWS (Class B, 2008-2013)ASX: NWSLV (Class A) ASX: NWS (Class B)","March 15, 1980; 45 years ago (1980-03-15) in Adelaide, South Australia (as News Corp Limited) December 12, 2004; 20 years ago (2004-12-12) in Wilmington, Delaware, U.S. (as News Corporation)","1211 Avenue of the Americas, New York City, New York, U.S.",,Worldwide,Rupert Murdoch(chairman and CEO)Chase Carey(president & COO),,,,,,,,"To see most of the company's subsidiaries, see: List of assets owned by News Corp List of assets owned by Fox Corporation","newscorp.com at the Wayback Machine (archived June 24, 2013)",Rupert Murdoch,News Corporation Limited (1980–2004),"Cable network programming, Filmed entertainment, Television, direct-broadcast satellite television, Publishing, and other",
